id	checksum	finished_at	migration_name	logs	rolled_back_at	started_at	applied_steps_count
9f52e208-0171-4615-b6a4-3ab0e5ef6e1e	0983c8c2474f18152b093842104ef9aef25f03fb78861c9e681da2249a64a385	2025-11-10 16:27:11.092645+00	20251110153741_postgres_init			2025-11-10 16:27:10.203063+00	1
6e910f17-1109-47d1-b015-cf16c2fb675b	2387067006846a78a23eb76ccf496df8a090d2db6118c32173288c756a6a4607	2025-11-11 15:19:54.23827+00	20250211121000_quote_perf_indexes			2025-11-11 15:19:53.434306+00	1
e2ec9d76-0ea6-457c-bdc1-4335e1a5f950	ea3eb27386557e1fc28b6477c2d38967b67ad3312a4d38fec6bcc20ddd317076	2025-11-11 15:19:54.914478+00	20251122120000_invoice_indexes			2025-11-11 15:19:54.37868+00	1
05d0744b-4f36-442e-8dbe-81d255d86e23	ffcd2f6d307f1e20024b3a5386ef34c9a1c424840e6cad1ad63ec34cbdc5c240	2025-11-12 11:29:54.677395+00	20251204140000_messaging_background_jobs			2025-11-12 11:29:53.857908+00	1
9f64e0b6-fe65-4946-954f-38de0aa3c947	9a7e3bc8e86f7db4c8ceabe5bb2a45bc0abf3ee7a1fd821fa7e3a92b109bb45c	2025-11-12 15:25:16.055182+00	20251210100000_search_trgm_indexes			2025-11-12 15:25:15.18129+00	1
540bb240-e14c-4e0a-832f-aba73fab8281	29e69b1612799ec974858ba54a9e3441b3e304aae098294963f6ffe06e0a93ba	2025-11-13 13:43:51.162006+00	20251215104500_website_builder_customization			2025-11-13 13:43:50.591703+00	1
642f78d8-8c29-4378-aa89-defbe0dd9a14	63b90e7e37a5ebce9be41d55f69fc495717a9f4a081b85575920c0b5656fd725		20240101000000_postgres_init	"A migration failed to apply. New migrations cannot be applied before the error is recovered from. Read more about how to resolve migration issues in a production database: https://pris.ly/d/migrate-resolve

Migration name: 20240101000000_postgres_init

Database error code: 42710

Database error:
ERROR: type ""UserRole"" already exists

DbError { severity: ""ERROR"", parsed_severity: Some(Error), code: SqlState(E42710), message: ""type \""UserRole\"" already exists"", detail: None, hint: None, position: None, where_: None, schema: None, table: None, column: None, datatype: None, constraint: None, file: Some(""typecmds.c""), line: Some(1177), routine: Some(""DefineEnum"") }

"	2026-01-16 10:09:58.963317+00	2025-11-17 10:57:02.596113+00	0
d72215d3-70a8-4d78-93db-495a85d398c1	5fb4407904aec498fada8a9b94025d8cfd97e38d4a5c3034db94c133f275cec2	2025-11-17 11:06:41.677316+00	20250220150000_ai_assistant	""		2025-11-17 11:06:41.677316+00	1
59dd2cc5-82be-4b09-9c5a-cb836c932685	63b90e7e37a5ebce9be41d55f69fc495717a9f4a081b85575920c0b5656fd725	2026-01-16 10:09:59.122589+00	20240101000000_postgres_init	""		2026-01-16 10:09:59.122589+00	0
006ef17a-21e5-433c-b2fa-812d7a6581bb	469a70ca5773b37f7ce28cec92c5ddda9376f468acf05011effc59cdb6f0970d	2026-01-19 13:15:23.682514+00	20251220120000_ecommerce_product_fields			2026-01-19 13:15:23.219766+00	1
b21edd03-6a1d-4f4c-9491-8ebae9c70db7	bf8a12af02ba5dc13fbf27a9aa813ba8c3ecc78499d60dc91186cf034a4c46ea	2026-01-19 13:15:24.394598+00	20251220133000_ecommerce_orders			2026-01-19 13:15:23.860498+00	1
dc0875fe-babd-4027-96e6-2a14cbc34bd0	6221204c806c078dc0613849fd6ee15efa14d64bd5d5b987031a310c990b4a41	2026-01-19 13:15:24.945394+00	20251220150000_order_payment_proofs			2026-01-19 13:15:24.556055+00	1
d6d7d08f-a648-42aa-ad45-bd954ed45aaf	64fef29f2cb73e38314f0e96b8868d17bbe1621f362726f7bbb3bbff10171a49	2026-01-28 11:46:35.714016+00	20260128120000_contact_messages			2026-01-28 11:46:35.28377+00	1
5df8f2db-4c65-43fb-9efc-768e44b93e01	3b73106518e0527ca2bcc9169b9ed66591c8e98360bbd8ebe763667ec540e0f3	2026-01-28 14:08:23.194912+00	20260128123000_clients_auth_user			2026-01-28 14:08:22.818018+00	1
0199c3c2-4a4e-49b7-b401-6f76e601a86f	0c918f08a6c62f8ddc8d0fa41b066b5598dff476a433c7f6bc8b6c4401b560f0	2026-01-29 14:47:35.633104+00	20260129120000_client_sessions			2026-01-29 14:47:35.247385+00	1
e0f18381-9e8c-4b26-b22b-badbf49a603a	073327d5945463fd8228d62e5a807d11298b9f2d669a1b6028008ccb0b122ea8	2026-02-02 11:15:51.739703+00	20260202121409_product_variant_fields			2026-02-02 11:15:51.359899+00	1
1f9b57ce-b4a0-4062-83c4-250438b6d2aa	b64a6e9bc4302b41feb3a73138809e4c0e7e90eb14d6a4a1fe117c7b2512acbf	2026-02-02 12:46:01.476523+00	20260202133000_wishlist_items			2026-02-02 12:46:00.814388+00	1
706ebc9f-e6ac-43c5-a56a-fe0d0076e1cf	1e9981069275ee3c8edc75b70518103204b193fd9cf61fb7d01d8984101c6ee3	2026-03-17 22:01:42.283918+00	20260317120000_account_context_foundation			2026-03-17 22:01:41.812112+00	1
0e490c49-4bc2-4dcb-9cc8-a2cb08302c40	3dd3426c0dce6dd7b4a949561ef39a56ea8b15bd9241d1b62953786b7f2bce2c	2026-03-17 22:01:42.860602+00	20260317170000_client_payment_domain			2026-03-17 22:01:42.436293+00	1
591830f6-b7ae-48e2-a38c-feb2f3235caa	c89bfdef10ab12658bd42b51241397b5929043eeb5bc19d7ce86c248ab90bee2	2026-03-18 11:05:44.653609+00	20260318111425_add_client_service_price			2026-03-18 11:05:44.246516+00	1
18d40631-ba9b-4974-a840-8645036ec320	77b3040e80e4dc64899ec8eb5c1978096d5edb5f8be2f52385bc9d6055f5d716	2026-03-19 18:27:45.06016+00	20260319103000_payment_services_catalog			2026-03-19 18:27:44.475688+00	1
c734ebe6-25ff-4844-b579-9cf1f667ec26	f5830be65f7a59b4330d3931b7625fd94068cb4b8dd0f16c0737933a9194db47	2026-03-25 12:20:05.639196+00	20260321123000_client_payment_search_indexes			2026-03-25 12:20:04.874186+00	1
5fdc3a81-a820-46a9-af72-17563773272f	4d3b611bb84c1ae47fd5bc2c728c89d6ac13fb5e68b3662f577754fb662a02df	2026-03-26 08:17:04.30686+00	20260326103000_messaging_local_sync_foundation			2026-03-26 08:17:03.249858+00	1
0a08f445-3b18-4d15-a8b4-43f30c45018f	a5509a00aab0f028acee4416e47e4a1eba26a699cde52ad172573108a13c7350	2026-03-26 09:43:32.321519+00	20260326113000_client_payment_methods_settings			2026-03-26 09:42:09.513198+00	1
6b2b63fa-ca5b-48f0-bf46-0ef9a92b41c1	7415da3e4a7ea126d02df7b826f8b97c275d0d06d8902e31c0616dc562390dfb	2026-03-28 12:34:14.480705+00	20260327111000_messaging_local_sync_search_fts			2026-03-28 12:34:13.127432+00	1
74bface2-1b56-4a57-a99a-e87ccdaf7a68	5a1eb0a4d00666dfcbd492fc5ea17529dd2a713a8b68eaeac016936527c5d22a	2026-04-06 11:35:18.85719+00	20260406121500_product_option_pricing_short_description			2026-04-06 11:35:18.233919+00	1
8804bd61-f242-43bf-b541-ee68cc08e647	4e8fe430038e6e003ede055a9fa1643e510a6d51e65fce28e53208c368a887d7	2026-04-06 12:49:04.158337+00	20260406133000_product_faq_items			2026-04-06 12:49:03.593042+00	1
2fcfa684-4610-4bf3-a1f7-6f58abeb37b1	a1187e4bcb16c4a6644d2f0b3d00b69be479570cf1f527b0fd09bf02e9661d87	2026-04-07 15:16:28.250444+00	20260407143000_website_cms_pages			2026-04-07 15:16:27.578163+00	1
